model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
knn,circles,0.4,100,9,41,0.555555556,0.5,0.055555556
knn,circles,0.4,1000,9,41,0.618888889,0.56,0.058888889
knn,circles,0.4,10000,9,41,0.613555556,0.558,0.055555556
knn,circles,0.5,10,9,41,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,41,0.533333333,0.8,-0.266666667
knn,circles,0.5,100,9,41,0.6,0.3,0.3
knn,circles,0.5,1000,9,41,0.591111111,0.6,-0.008888889
knn,circles,0.5,10000,9,41,0.589222222,0.544,0.045222222
knn,moons,0,10,9,41,0.555555556,0,0.555555556
knn,moons,0,50,9,41,0.777777778,0.8,-0.022222222
knn,moons,0,100,9,41,0.888888889,0.6,0.288888889
knn,moons,0,1000,9,41,1,1,0
knn,moons,0,10000,9,41,1,1,0
knn,moons,0.1,10,9,41,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,41,0.6,0.4,0.2
knn,moons,0.1,100,9,41,0.844444444,0.8,0.044444444
knn,moons,0.1,1000,9,41,0.998888889,0.98,0.018888889
knn,moons,0.1,10000,9,41,0.998777778,0.999,-0.000222222
knn,moons,0.2,10,9,41,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,41,0.555555556,0.6,-0.044444444
knn,moons,0.2,100,9,41,0.888888889,1,-0.111111111
knn,moons,0.2,1000,9,41,0.974444444,0.95,0.024444444
knn,moons,0.2,10000,9,41,0.968666667,0.968,0.000666667
knn,moons,0.3,10,9,41,0.666666667,0,0.666666667
knn,moons,0.3,50,9,41,0.733333333,0.8,-0.066666667
knn,moons,0.3,100,9,41,0.9,0.9,0
knn,moons,0.3,1000,9,41,0.901111111,0.92,-0.018888889
knn,moons,0.3,10000,9,41,0.912777778,0.913,-0.000222222
knn,moons,0.4,10,9,41,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,41,0.577777778,0.4,0.177777778
knn,moons,0.4,100,9,41,0.744444444,0.9,-0.155555556
knn,moons,0.4,1000,9,41,0.86,0.83,0.03
knn,moons,0.4,10000,9,41,0.869111111,0.849,0.020111111
knn,moons,0.5,10,9,41,0.555555556,0,0.555555556
knn,moons,0.5,50,9,41,0.6,0.6,0
knn,moons,0.5,100,9,41,0.811111111,0.9,-0.088888889
knn,moons,0.5,1000,9,41,0.845555556,0.8,0.045555556
knn,moons,0.5,10000,9,41,0.825444444,0.838,-0.012555556
knn,circles,0,10,9,31,0.555555556,0,0.555555556
knn,circles,0,50,9,31,0.511111111,0.8,-0.288888889
knn,circles,0,100,9,31,0.633333333,0.7,-0.066666667
knn,circles,0,1000,9,31,1,1,0
knn,circles,0,10000,9,31,1,1,0
knn,circles,0.1,10,9,31,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,31,0.555555556,0.8,-0.244444444
knn,circles,0.1,100,9,31,0.555555556,0.3,0.255555556
knn,circles,0.1,1000,9,31,0.847777778,0.87,-0.022222222
knn,circles,0.1,10000,9,31,0.842444444,0.85,-0.007555556
knn,circles,0.2,10,9,31,0.666666667,0,0.666666667
knn,circles,0.2,50,9,31,0.533333333,0.4,0.133333333
knn,circles,0.2,100,9,31,0.588888889,0.3,0.288888889
