model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
knn,moons,0.4,10000,7,51,0.867111111,0.882,-0.014888889
knn,moons,0.5,10,7,51,0.555555556,0,0.555555556
knn,moons,0.5,50,7,51,0.844444444,0.6,0.244444444
knn,moons,0.5,100,7,51,0.811111111,0.8,0.011111111
knn,moons,0.5,1000,7,51,0.843333333,0.82,0.023333333
knn,moons,0.5,10000,7,51,0.828222222,0.816,0.012222222
knn,circles,0,10,7,41,0.555555556,0,0.555555556
knn,circles,0,50,7,41,0.555555556,0.4,0.155555556
knn,circles,0,100,7,41,0.6,0.5,0.1
knn,circles,0,1000,7,41,0.997777778,1,-0.002222222
knn,circles,0,10000,7,41,1,1,0
knn,circles,0.1,10,7,41,0.666666667,1,-0.333333333
knn,circles,0.1,50,7,41,0.577777778,0.6,-0.022222222
knn,circles,0.1,100,7,41,0.655555556,0.3,0.355555556
knn,circles,0.1,1000,7,41,0.847777778,0.82,0.027777778
knn,circles,0.1,10000,7,41,0.845444444,0.835,0.010444444
knn,circles,0.2,10,7,41,0.666666667,0,0.666666667
knn,circles,0.2,50,7,41,0.444444444,0.6,-0.155555556
knn,circles,0.2,100,7,41,0.477777778,0.8,-0.322222222
knn,circles,0.2,1000,7,41,0.696666667,0.72,-0.023333333
knn,circles,0.2,10000,7,41,0.700444444,0.683,0.017444444
knn,circles,0.3,10,7,41,0.666666667,0,0.666666667
knn,circles,0.3,50,7,41,0.511111111,0.4,0.111111111
knn,circles,0.3,100,7,41,0.6,0.5,0.1
knn,circles,0.3,1000,7,41,0.654444444,0.62,0.034444444
knn,circles,0.3,10000,7,41,0.641777778,0.613,0.028777778
knn,circles,0.4,10,7,41,0.555555556,0,0.555555556
knn,circles,0.4,50,7,41,0.533333333,0.8,-0.266666667
knn,circles,0.4,100,7,41,0.566666667,0.5,0.066666667
knn,circles,0.4,1000,7,41,0.622222222,0.53,0.092222222
knn,circles,0.4,10000,7,41,0.608,0.58,0.028
knn,circles,0.5,10,7,41,0.777777778,0,0.777777778
knn,circles,0.5,50,7,41,0.6,0.2,0.4
knn,circles,0.5,100,7,41,0.577777778,0.5,0.077777778
knn,circles,0.5,1000,7,41,0.605555556,0.59,0.015555556
knn,circles,0.5,10000,7,41,0.588555556,0.576,0.012555556
knn,moons,0,10,7,41,0.555555556,0,0.555555556
knn,moons,0,50,7,41,0.555555556,0.4,0.155555556
knn,moons,0,100,7,41,0.888888889,0.8,0.088888889
knn,moons,0,1000,7,41,1,1,0
knn,moons,0,10000,7,41,1,1,0
knn,moons,0.1,10,7,41,0.666666667,0,0.666666667
knn,moons,0.1,50,7,41,0.577777778,0.6,-0.022222222
knn,moons,0.1,100,7,41,0.811111111,0.8,0.011111111
knn,moons,0.1,1000,7,41,0.996666667,1,-0.003333333
knn,moons,0.1,10000,7,41,0.998888889,0.998,0.000888889
knn,moons,0.2,10,7,41,0.666666667,1,-0.333333333
knn,moons,0.2,50,7,41,0.577777778,0.4,0.177777778
knn,moons,0.2,100,7,41,0.888888889,0.8,0.088888889
knn,moons,0.2,1000,7,41,0.968888889,0.99,-0.021111111
knn,moons,0.2,10000,7,41,0.969111111,0.966,0.003111111
knn,moons,0.3,10,7,41,0.666666667,0,0.666666667
knn,moons,0.3,50,7,41,0.711111111,0.6,0.111111111
knn,moons,0.3,100,7,41,0.922222222,0.7,0.222222222
knn,moons,0.3,1000,7,41,0.896666667,0.91,-0.013333333
knn,moons,0.3,10000,7,41,0.914111111,0.901,0.013111111
knn,moons,0.4,10,7,41,0.777777778,0,0.777777778
knn,moons,0.4,50,7,41,0.555555556,0.6,-0.044444444
knn,moons,0.4,100,7,41,0.744444444,0.8,-0.055555556
knn,moons,0.4,1000,7,41,0.862222222,0.85,0.012222222
knn,moons,0.4,10000,7,41,0.867333333,0.878,-0.010666667
knn,moons,0.5,10,7,41,0.555555556,0,0.555555556
knn,moons,0.5,50,7,41,0.577777778,0.8,-0.222222222
knn,moons,0.5,100,7,41,0.822222222,0.8,0.022222222
knn,moons,0.5,1000,7,41,0.846666667,0.81,0.036666667
knn,moons,0.5,10000,7,41,0.828111111,0.81,0.018111111
knn,circles,0,10,7,31,0.555555556,0,0.555555556
knn,circles,0,50,7,31,0.622222222,0.4,0.222222222
knn,circles,0,100,7,31,0.633333333,0.6,0.033333333
knn,circles,0,1000,7,31,1,1,0
knn,circles,0,10000,7,31,1,1,0
knn,circles,0.1,10,7,31,0.666666667,1,-0.333333333
knn,circles,0.1,50,7,31,0.533333333,0.8,-0.266666667
knn,circles,0.1,100,7,31,0.7,0.3,0.4
knn,circles,0.1,1000,7,31,0.853333333,0.81,0.043333333
knn,circles,0.1,10000,7,31,0.845666667,0.836,0.009666667
knn,circles,0.2,10,7,31,0.666666667,0,0.666666667
knn,circles,0.2,50,7,31,0.555555556,0.6,-0.044444444
knn,circles,0.2,100,7,31,0.522222222,0.7,-0.177777778
knn,circles,0.2,1000,7,31,0.69,0.72,-0.03
knn,circles,0.2,10000,7,31,0.697666667,0.694,0.003666667
knn,circles,0.3,10,7,31,0.666666667,0,0.666666667
knn,circles,0.3,50,7,31,0.511111111,0.6,-0.088888889
knn,circles,0.3,100,7,31,0.577777778,0.7,-0.122222222
knn,circles,0.3,1000,7,31,0.661111111,0.6,0.061111111
knn,circles,0.3,10000,7,31,0.647444444,0.599,0.048444444
knn,circles,0.4,10,7,31,0.555555556,0,0.555555556
knn,circles,0.4,50,7,31,0.555555556,0.8,-0.244444444
knn,circles,0.4,100,7,31,0.633333333,0.6,0.033333333
knn,circles,0.4,1000,7,31,0.633333333,0.53,0.103333333
knn,circles,0.4,10000,7,31,0.614,0.566,0.048
knn,circles,0.5,10,7,31,0.777777778,0,0.777777778
knn,circles,0.5,50,7,31,0.6,0.2,0.4
knn,circles,0.5,100,7,31,0.566666667,0.6,-0.033333333
knn,circles,0.5,1000,7,31,0.594444444,0.59,0.004444444
knn,circles,0.5,10000,7,31,0.596666667,0.553,0.043666667
knn,moons,0,10,7,31,0.555555556,0,0.555555556
knn,moons,0,50,7,31,0.844444444,0.6,0.244444444
knn,moons,0,100,7,31,0.9,0.8,0.1
knn,moons,0,1000,7,31,1,1,0
knn,moons,0,10000,7,31,1,1,0
knn,moons,0.1,10,7,31,0.666666667,0,0.666666667
knn,moons,0.1,50,7,31,0.844444444,0.8,0.044444444
knn,moons,0.1,100,7,31,0.866666667,0.9,-0.033333333
knn,moons,0.1,1000,7,31,1,1,0
knn,moons,0.1,10000,7,31,0.999,0.998,0.001
knn,moons,0.2,10,7,31,0.666666667,1,-0.333333333
knn,moons,0.2,50,7,31,0.866666667,0.6,0.266666667
knn,moons,0.2,100,7,31,0.922222222,0.8,0.122222222
knn,moons,0.2,1000,7,31,0.972222222,0.99,-0.017777778
knn,moons,0.2,10000,7,31,0.969333333,0.968,0.001333333
knn,moons,0.3,10,7,31,0.666666667,0,0.666666667
knn,moons,0.3,50,7,31,0.844444444,0.6,0.244444444
knn,moons,0.3,100,7,31,0.922222222,0.9,0.022222222
knn,moons,0.3,1000,7,31,0.9,0.91,-0.01
knn,moons,0.3,10000,7,31,0.912666667,0.901,0.011666667
knn,moons,0.4,10,7,31,0.777777778,0,0.777777778
knn,moons,0.4,50,7,31,0.666666667,0.6,0.066666667
knn,moons,0.4,100,7,31,0.744444444,0.8,-0.055555556
knn,moons,0.4,1000,7,31,0.865555556,0.86,0.005555556
knn,moons,0.4,10000,7,31,0.867444444,0.876,-0.008555556
knn,moons,0.5,10,7,31,0.555555556,0,0.555555556
knn,moons,0.5,50,7,31,0.844444444,0.8,0.044444444
knn,moons,0.5,100,7,31,0.833333333,0.8,0.033333333
knn,moons,0.5,1000,7,31,0.842222222,0.81,0.032222222
knn,moons,0.5,10000,7,31,0.828888889,0.804,0.024888889
knn,circles,0,10,7,21,0.555555556,0,0.555555556
knn,circles,0,50,7,21,0.688888889,0.6,0.088888889
knn,circles,0,100,7,21,0.644444444,0.6,0.044444444
knn,circles,0,1000,7,21,1,1,0
knn,circles,0,10000,7,21,1,1,0
knn,circles,0.1,10,7,21,0.666666667,1,-0.333333333
knn,circles,0.1,50,7,21,0.511111111,0.6,-0.088888889
knn,circles,0.1,100,7,21,0.622222222,0.2,0.422222222
knn,circles,0.1,1000,7,21,0.854444444,0.8,0.054444444
knn,circles,0.1,10000,7,21,0.848,0.835,0.013
knn,circles,0.2,10,7,21,0.666666667,0,0.666666667
knn,circles,0.2,50,7,21,0.644444444,0.4,0.244444444
knn,circles,0.2,100,7,21,0.622222222,0.7,-0.077777778
knn,circles,0.2,1000,7,21,0.701111111,0.68,0.021111111
knn,circles,0.2,10000,7,21,0.700888889,0.676,0.024888889
knn,circles,0.3,10,7,21,0.666666667,0,0.666666667
knn,circles,0.3,50,7,21,0.644444444,0.4,0.244444444
knn,circles,0.3,100,7,21,0.622222222,0.5,0.122222222
knn,circles,0.3,1000,7,21,0.667777778,0.64,0.027777778
knn,circles,0.3,10000,7,21,0.656555556,0.597,0.059555556
knn,circles,0.4,10,7,21,0.555555556,0,0.555555556
knn,circles,0.4,50,7,21,0.577777778,0.8,-0.222222222
knn,circles,0.4,100,7,21,0.666666667,0.5,0.166666667
knn,circles,0.4,1000,7,21,0.644444444,0.56,0.084444444
knn,circles,0.4,10000,7,21,0.628444444,0.574,0.054444444
knn,circles,0.5,10,7,21,0.777777778,0,0.777777778
knn,circles,0.5,50,7,21,0.6,0,0.6
knn,circles,0.5,100,7,21,0.577777778,0.5,0.077777778
knn,circles,0.5,1000,7,21,0.604444444,0.61,-0.005555556
knn,circles,0.5,10000,7,21,0.607222222,0.549,0.058222222
knn,moons,0,10,7,21,0.555555556,0,0.555555556
knn,moons,0,50,7,21,0.933333333,0.8,0.133333333
knn,moons,0,100,7,21,0.966666667,1,-0.033333333
knn,moons,0,1000,7,21,1,1,0
knn,moons,0,10000,7,21,1,1,0
knn,moons,0.1,10,7,21,0.666666667,0,0.666666667
knn,moons,0.1,50,7,21,0.888888889,0.8,0.088888889
knn,moons,0.1,100,7,21,0.966666667,1,-0.033333333
knn,moons,0.1,1000,7,21,0.998888889,1,-0.001111111
knn,moons,0.1,10000,7,21,0.999222222,0.998,0.001222222
knn,moons,0.2,10,7,21,0.666666667,1,-0.333333333
knn,moons,0.2,50,7,21,0.888888889,0.6,0.288888889
knn,moons,0.2,100,7,21,0.955555556,0.8,0.155555556
knn,moons,0.2,1000,7,21,0.973333333,0.97,0.003333333
knn,moons,0.2,10000,7,21,0.970444444,0.967,0.003444444
knn,moons,0.3,10,7,21,0.666666667,0,0.666666667
knn,moons,0.3,50,7,21,0.888888889,0.6,0.288888889
knn,moons,0.3,100,7,21,0.911111111,0.9,0.011111111
knn,moons,0.3,1000,7,21,0.903333333,0.9,0.003333333
knn,moons,0.3,10000,7,21,0.914,0.901,0.013
knn,moons,0.4,10,7,21,0.777777778,0,0.777777778
knn,moons,0.4,50,7,21,0.777777778,0.8,-0.022222222
knn,moons,0.4,100,7,21,0.777777778,0.8,-0.022222222
knn,moons,0.4,1000,7,21,0.87,0.86,0.01
knn,moons,0.4,10000,7,21,0.866222222,0.875,-0.008777778
knn,moons,0.5,10,7,21,0.555555556,0,0.555555556
knn,moons,0.5,50,7,21,0.822222222,0.6,0.222222222
knn,moons,0.5,100,7,21,0.844444444,0.8,0.044444444
knn,moons,0.5,1000,7,21,0.84,0.81,0.03
knn,moons,0.5,10000,7,21,0.828333333,0.809,0.019333333
knn,circles,0,10,7,11,0.555555556,0,0.555555556
knn,circles,0,50,7,11,0.711111111,0.6,0.111111111
knn,circles,0,100,7,11,0.677777778,0.6,0.077777778
knn,circles,0,1000,7,11,1,1,0
knn,circles,0,10000,7,11,1,1,0
knn,circles,0.1,10,7,11,0.666666667,1,-0.333333333
knn,circles,0.1,50,7,11,0.644444444,0.4,0.244444444
knn,circles,0.1,100,7,11,0.755555556,0.3,0.455555556
knn,circles,0.1,1000,7,11,0.85,0.79,0.06
knn,circles,0.1,10000,7,11,0.854555556,0.835,0.019555556
knn,circles,0.2,10,7,11,0.666666667,0,0.666666667
knn,circles,0.2,50,7,11,0.711111111,0.6,0.111111111
knn,circles,0.2,100,7,11,0.677777778,0.7,-0.022222222
knn,circles,0.2,1000,7,11,0.712222222,0.61,0.102222222
knn,circles,0.2,10000,7,11,0.720777778,0.668,0.052777778
knn,circles,0.3,10,7,11,0.666666667,0,0.666666667
knn,circles,0.3,50,7,11,0.666666667,0.6,0.066666667
knn,circles,0.3,100,7,11,0.611111111,0.4,0.211111111
knn,circles,0.3,1000,7,11,0.68,0.58,0.1
knn,circles,0.3,10000,7,11,0.672,0.589,0.083
knn,circles,0.4,10,7,11,0.555555556,0,0.555555556
knn,circles,0.4,50,7,11,0.666666667,0.8,-0.133333333
knn,circles,0.4,100,7,11,0.666666667,0.6,0.066666667
knn,circles,0.4,1000,7,11,0.666666667,0.55,0.116666667
knn,circles,0.4,10000,7,11,0.658,0.557,0.101
knn,circles,0.5,10,7,11,0.777777778,0,0.777777778
knn,circles,0.5,50,7,11,0.644444444,0.2,0.444444444
knn,circles,0.5,100,7,11,0.633333333,0.7,-0.066666667
knn,circles,0.5,1000,7,11,0.623333333,0.61,0.013333333
knn,circles,0.5,10000,7,11,0.639,0.547,0.092
knn,moons,0,10,7,11,0.555555556,0,0.555555556
knn,moons,0,50,7,11,0.955555556,0.8,0.155555556
knn,moons,0,100,7,11,0.988888889,1,-0.011111111
knn,moons,0,1000,7,11,1,1,0
knn,moons,0,10000,7,11,1,1,0
knn,moons,0.1,10,7,11,0.666666667,0,0.666666667
knn,moons,0.1,50,7,11,0.977777778,1,-0.022222222
knn,moons,0.1,100,7,11,0.988888889,1,-0.011111111
knn,moons,0.1,1000,7,11,1,1,0
knn,moons,0.1,10000,7,11,0.999222222,0.997,0.002222222
knn,moons,0.2,10,7,11,0.666666667,1,-0.333333333
knn,moons,0.2,50,7,11,0.933333333,1,-0.066666667
knn,moons,0.2,100,7,11,0.977777778,1,-0.022222222
knn,moons,0.2,1000,7,11,0.974444444,0.97,0.004444444
knn,moons,0.2,10000,7,11,0.970444444,0.967,0.003444444
knn,moons,0.3,10,7,11,0.666666667,0,0.666666667
knn,moons,0.3,50,7,11,0.933333333,0.6,0.333333333
knn,moons,0.3,100,7,11,0.944444444,0.9,0.044444444
knn,moons,0.3,1000,7,11,0.91,0.91,0
knn,moons,0.3,10000,7,11,0.918444444,0.892,0.026444444
knn,moons,0.4,10,7,11,0.777777778,0,0.777777778
knn,moons,0.4,50,7,11,0.888888889,0.8,0.088888889
knn,moons,0.4,100,7,11,0.744444444,0.7,0.044444444
knn,moons,0.4,1000,7,11,0.868888889,0.85,0.018888889
knn,moons,0.4,10000,7,11,0.871555556,0.868,0.003555556
knn,moons,0.5,10,7,11,0.555555556,0,0.555555556
knn,moons,0.5,50,7,11,0.844444444,0.6,0.244444444
knn,moons,0.5,100,7,11,0.833333333,0.8,0.033333333
knn,moons,0.5,1000,7,11,0.852222222,0.82,0.032222222
knn,moons,0.5,10000,7,11,0.835555556,0.799,0.036555556
knn,circles,0,10,7,5,0.777777778,1,-0.222222222
knn,circles,0,50,7,5,0.8,0.6,0.2
knn,circles,0,100,7,5,0.877777778,0.8,0.077777778
knn,circles,0,1000,7,5,1,1,0
knn,circles,0,10000,7,5,1,1,0
knn,circles,0.1,10,7,5,0.444444444,1,-0.555555556
knn,circles,0.1,50,7,5,0.777777778,0.6,0.177777778
knn,circles,0.1,100,7,5,0.844444444,0.2,0.644444444
knn,circles,0.1,1000,7,5,0.885555556,0.78,0.105555556
knn,circles,0.1,10000,7,5,0.866444444,0.822,0.044444444
knn,circles,0.2,10,7,5,0.666666667,1,-0.333333333
knn,circles,0.2,50,7,5,0.8,0.6,0.2
knn,circles,0.2,100,7,5,0.777777778,0.8,-0.022222222
knn,circles,0.2,1000,7,5,0.756666667,0.64,0.116666667
knn,circles,0.2,10000,7,5,0.760333333,0.644,0.116333333
knn,circles,0.3,10,7,5,0.777777778,0,0.777777778
knn,circles,0.3,50,7,5,0.777777778,0.6,0.177777778
knn,circles,0.3,100,7,5,0.655555556,0.6,0.055555556
knn,circles,0.3,1000,7,5,0.736666667,0.59,0.146666667
knn,circles,0.3,10000,7,5,0.724333333,0.574,0.150333333
knn,circles,0.4,10,7,5,0.555555556,0,0.555555556
knn,circles,0.4,50,7,5,0.733333333,0.6,0.133333333
knn,circles,0.4,100,7,5,0.733333333,0.4,0.333333333
knn,circles,0.4,1000,7,5,0.706666667,0.55,0.156666667
knn,circles,0.4,10000,7,5,0.706222222,0.565,0.141222222
knn,circles,0.5,10,7,5,0.777777778,0,0.777777778
knn,circles,0.5,50,7,5,0.666666667,0.2,0.466666667
knn,circles,0.5,100,7,5,0.633333333,0.6,0.033333333
knn,circles,0.5,1000,7,5,0.7,0.59,0.11
knn,circles,0.5,10000,7,5,0.694,0.516,0.178
knn,moons,0,10,7,5,0.777777778,1,-0.222222222
knn,moons,0,50,7,5,0.955555556,1,-0.044444444
knn,moons,0,100,7,5,1,1,0
knn,moons,0,1000,7,5,1,1,0
knn,moons,0,10000,7,5,1,1,0
knn,moons,0.1,10,7,5,1,1,0
knn,moons,0.1,50,7,5,1,1,0
knn,moons,0.1,100,7,5,1,1,0
knn,moons,0.1,1000,7,5,1,1,0
knn,moons,0.1,10000,7,5,0.999222222,0.997,0.002222222
knn,moons,0.2,10,7,5,0.888888889,1,-0.111111111
knn,moons,0.2,50,7,5,0.933333333,1,-0.066666667
knn,moons,0.2,100,7,5,0.977777778,1,-0.022222222
knn,moons,0.2,1000,7,5,0.973333333,0.95,0.023333333
knn,moons,0.2,10000,7,5,0.973666667,0.964,0.009666667
knn,moons,0.3,10,7,5,0.777777778,1,-0.222222222
knn,moons,0.3,50,7,5,0.977777778,0.6,0.377777778
knn,moons,0.3,100,7,5,0.966666667,0.9,0.066666667
knn,moons,0.3,1000,7,5,0.908888889,0.91,-0.001111111
knn,moons,0.3,10000,7,5,0.929222222,0.893,0.036222222
knn,moons,0.4,10,7,5,0.777777778,0,0.777777778
knn,moons,0.4,50,7,5,0.844444444,0.8,0.044444444
knn,moons,0.4,100,7,5,0.833333333,0.5,0.333333333
knn,moons,0.4,1000,7,5,0.872222222,0.85,0.022222222
knn,moons,0.4,10000,7,5,0.883222222,0.862,0.021222222
knn,moons,0.5,10,7,5,0.555555556,1,-0.444444444
knn,moons,0.5,50,7,5,0.844444444,0.8,0.044444444
knn,moons,0.5,100,7,5,0.844444444,0.8,0.044444444
knn,moons,0.5,1000,7,5,0.873333333,0.79,0.083333333
knn,moons,0.5,10000,7,5,0.854333333,0.775,0.079333333
knn,circles,0,10,7,3,0.777777778,1,-0.222222222
knn,circles,0,50,7,3,0.844444444,0.6,0.244444444
knn,circles,0,100,7,3,0.955555556,1,-0.044444444
knn,circles,0,1000,7,3,1,1,0
knn,circles,0,10000,7,3,1,1,0
knn,circles,0.1,10,7,3,0.888888889,1,-0.111111111
knn,circles,0.1,50,7,3,0.844444444,0.6,0.244444444
knn,circles,0.1,100,7,3,0.877777778,0.4,0.477777778
knn,circles,0.1,1000,7,3,0.897777778,0.78,0.117777778
knn,circles,0.1,10000,7,3,0.885333333,0.823,0.062333333
knn,circles,0.2,10,7,3,0.666666667,0,0.666666667
knn,circles,0.2,50,7,3,0.866666667,0.6,0.266666667
knn,circles,0.2,100,7,3,0.822222222,0.7,0.122222222
knn,circles,0.2,1000,7,3,0.804444444,0.6,0.204444444
knn,circles,0.2,10000,7,3,0.801444444,0.634,0.167444444
knn,circles,0.3,10,7,3,0.888888889,0,0.888888889
knn,circles,0.3,50,7,3,0.8,0.6,0.2
knn,circles,0.3,100,7,3,0.744444444,0.6,0.144444444
knn,circles,0.3,1000,7,3,0.776666667,0.51,0.266666667
knn,circles,0.3,10000,7,3,0.779333333,0.57,0.209333333
knn,circles,0.4,10,7,3,0.555555556,1,-0.444444444
knn,circles,0.4,50,7,3,0.777777778,0.6,0.177777778
knn,circles,0.4,100,7,3,0.766666667,0.6,0.166666667
knn,circles,0.4,1000,7,3,0.764444444,0.53,0.234444444
knn,circles,0.4,10000,7,3,0.767222222,0.575,0.192222222
knn,circles,0.5,10,7,3,0.777777778,0,0.777777778
knn,circles,0.5,50,7,3,0.711111111,0.2,0.511111111
knn,circles,0.5,100,7,3,0.677777778,0.6,0.077777778
knn,circles,0.5,1000,7,3,0.76,0.58,0.18
knn,circles,0.5,10000,7,3,0.761222222,0.504,0.257222222
knn,moons,0,10,7,3,0.888888889,1,-0.111111111
knn,moons,0,50,7,3,1,1,0
knn,moons,0,100,7,3,1,1,0
knn,moons,0,1000,7,3,1,1,0
knn,moons,0,10000,7,3,1,1,0
knn,moons,0.1,10,7,3,1,1,0
knn,moons,0.1,50,7,3,1,1,0
knn,moons,0.1,100,7,3,1,1,0
knn,moons,0.1,1000,7,3,1,1,0
knn,moons,0.1,10000,7,3,0.999222222,0.997,0.002222222
knn,moons,0.2,10,7,3,0.888888889,1,-0.111111111
knn,moons,0.2,50,7,3,0.955555556,1,-0.044444444
knn,moons,0.2,100,7,3,0.988888889,1,-0.011111111
knn,moons,0.2,1000,7,3,0.981111111,0.95,0.031111111
knn,moons,0.2,10000,7,3,0.976555556,0.963,0.013555556
knn,moons,0.3,10,7,3,0.777777778,1,-0.222222222
knn,moons,0.3,50,7,3,0.977777778,0.8,0.177777778
knn,moons,0.3,100,7,3,0.955555556,0.9,0.055555556
knn,moons,0.3,1000,7,3,0.926666667,0.91,0.016666667
knn,moons,0.3,10000,7,3,0.936666667,0.892,0.044666667
knn,moons,0.4,10,7,3,0.777777778,0,0.777777778
knn,moons,0.4,50,7,3,0.866666667,0.8,0.066666667
knn,moons,0.4,100,7,3,0.888888889,0.6,0.288888889
knn,moons,0.4,1000,7,3,0.893333333,0.86,0.033333333
knn,moons,0.4,10000,7,3,0.9,0.851,0.049
knn,moons,0.5,10,7,3,0.777777778,1,-0.222222222
knn,moons,0.5,50,7,3,0.888888889,0.4,0.488888889
knn,moons,0.5,100,7,3,0.855555556,0.8,0.055555556
knn,moons,0.5,1000,7,3,0.88,0.73,0.15
knn,moons,0.5,10000,7,3,0.874222222,0.764,0.110222222
knn,circles,0,10,7,1,1,1,0
knn,circles,0,50,7,1,1,0.8,0.2
knn,circles,0,100,7,1,1,1,0
knn,circles,0,1000,7,1,1,1,0
knn,circles,0,10000,7,1,1,1,0
knn,circles,0.1,10,7,1,1,1,0
knn,circles,0.1,50,7,1,1,0.6,0.4
knn,circles,0.1,100,7,1,1,0.5,0.5
knn,circles,0.1,1000,7,1,1,0.78,0.22
knn,circles,0.1,10000,7,1,1,0.765,0.235
knn,circles,0.2,10,7,1,1,0,1
knn,circles,0.2,50,7,1,1,0.6,0.4
knn,circles,0.2,100,7,1,1,0.8,0.2
knn,circles,0.2,1000,7,1,1,0.58,0.42
knn,circles,0.2,10000,7,1,1,0.595,0.405
knn,circles,0.3,10,7,1,1,1,0
knn,circles,0.3,50,7,1,1,0.6,0.4
knn,circles,0.3,100,7,1,1,0.7,0.3
knn,circles,0.3,1000,7,1,1,0.58,0.42
knn,circles,0.3,10000,7,1,1,0.576,0.424
knn,circles,0.4,10,7,1,1,1,0
knn,circles,0.4,50,7,1,1,0.4,0.6
knn,circles,0.4,100,7,1,1,0.5,0.5
knn,circles,0.4,1000,7,1,1,0.6,0.4
knn,circles,0.4,10000,7,1,1,0.546,0.454
knn,circles,0.5,10,7,1,1,0,1
knn,circles,0.5,50,7,1,1,0.8,0.2
knn,circles,0.5,100,7,1,1,0.7,0.3
knn,circles,0.5,1000,7,1,1,0.57,0.43
knn,circles,0.5,10000,7,1,1,0.499,0.501
knn,moons,0,10,7,1,1,1,0
knn,moons,0,50,7,1,1,1,0
knn,moons,0,100,7,1,1,1,0
knn,moons,0,1000,7,1,1,1,0
knn,moons,0,10000,7,1,1,1,0
knn,moons,0.1,10,7,1,1,1,0
knn,moons,0.1,50,7,1,1,1,0
knn,moons,0.1,100,7,1,1,1,0
knn,moons,0.1,1000,7,1,1,1,0
knn,moons,0.1,10000,7,1,1,0.998,0.002
knn,moons,0.2,10,7,1,1,1,0
knn,moons,0.2,50,7,1,1,1,0
knn,moons,0.2,100,7,1,1,1,0
knn,moons,0.2,1000,7,1,1,0.96,0.04
knn,moons,0.2,10000,7,1,1,0.957,0.043
knn,moons,0.3,10,7,1,1,1,0
knn,moons,0.3,50,7,1,1,0.6,0.4
knn,moons,0.3,100,7,1,1,0.9,0.1
knn,moons,0.3,1000,7,1,1,0.87,0.13
knn,moons,0.3,10000,7,1,1,0.857,0.143
knn,moons,0.4,10,7,1,1,1,0
knn,moons,0.4,50,7,1,1,0.8,0.2
knn,moons,0.4,100,7,1,1,0.7,0.3
knn,moons,0.4,1000,7,1,1,0.77,0.23
knn,moons,0.4,10000,7,1,1,0.796,0.204
knn,moons,0.5,10,7,1,1,1,0
knn,moons,0.5,50,7,1,1,0.4,0.6
knn,moons,0.5,100,7,1,1,0.8,0.2
knn,moons,0.5,1000,7,1,1,0.69,0.31
knn,moons,0.5,10000,7,1,1,0.735,0.265
knn,circles,0,10,6,55,0.555555556,0,0.555555556
knn,circles,0,50,6,55,0.755555556,1,-0.244444444
knn,circles,0,100,6,55,0.577777778,0.5,0.077777778
knn,circles,0,1000,6,55,1,1,0
knn,circles,0,10000,6,55,1,1,0
knn,circles,0.1,10,6,55,0.777777778,0,0.777777778
knn,circles,0.1,50,6,55,0.711111111,1,-0.288888889
knn,circles,0.1,100,6,55,0.644444444,0.6,0.044444444
knn,circles,0.1,1000,6,55,0.851111111,0.77,0.081111111
knn,circles,0.1,10000,6,55,0.844444444,0.836,0.008444444
knn,circles,0.2,10,6,55,0.555555556,1,-0.444444444
knn,circles,0.2,50,6,55,0.711111111,0.4,0.311111111
knn,circles,0.2,100,6,55,0.511111111,0.8,-0.288888889
knn,circles,0.2,1000,6,55,0.685555556,0.76,-0.074444444
knn,circles,0.2,10000,6,55,0.694666667,0.679,0.015666667
knn,circles,0.3,10,6,55,0.666666667,0,0.666666667
knn,circles,0.3,50,6,55,0.644444444,0.6,0.044444444
knn,circles,0.3,100,6,55,0.555555556,0.1,0.455555556
knn,circles,0.3,1000,6,55,0.644444444,0.66,-0.015555556
knn,circles,0.3,10000,6,55,0.638111111,0.63,0.008111111
knn,circles,0.4,10,6,55,0.555555556,0,0.555555556
knn,circles,0.4,50,6,55,0.688888889,0.8,-0.111111111
knn,circles,0.4,100,6,55,0.566666667,0.5,0.066666667
knn,circles,0.4,1000,6,55,0.598888889,0.6,-0.001111111
knn,circles,0.4,10000,6,55,0.606888889,0.588,0.018888889
knn,circles,0.5,10,6,55,0.666666667,1,-0.333333333
knn,circles,0.5,50,6,55,0.6,0.8,-0.2
knn,circles,0.5,100,6,55,0.555555556,0.7,-0.144444444
knn,circles,0.5,1000,6,55,0.587777778,0.54,0.047777778
knn,circles,0.5,10000,6,55,0.590333333,0.57,0.020333333
knn,moons,0,10,6,55,0.555555556,0,0.555555556
knn,moons,0,50,6,55,0.955555556,1,-0.044444444
knn,moons,0,100,6,55,0.822222222,0.9,-0.077777778
knn,moons,0,1000,6,55,1,1,0
knn,moons,0,10000,6,55,1,1,0
knn,moons,0.1,10,6,55,0.555555556,1,-0.444444444
knn,moons,0.1,50,6,55,0.977777778,1,-0.022222222
knn,moons,0.1,100,6,55,0.788888889,0.8,-0.011111111
knn,moons,0.1,1000,6,55,0.995555556,1,-0.004444444
knn,moons,0.1,10000,6,55,0.998888889,0.999,-0.000111111
knn,moons,0.2,10,6,55,0.666666667,1,-0.333333333
knn,moons,0.2,50,6,55,0.977777778,0.8,0.177777778
knn,moons,0.2,100,6,55,0.8,0.7,0.1
