,model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
253,knn,circles,0.0,100,5,11,0.7333333333333333,0.7,0.033333333333333326
254,knn,circles,0.0,100,5,21,0.5666666666666667,0.5,0.06666666666666665
255,knn,circles,0.0,100,5,31,0.5555555555555556,0.5,0.05555555555555558
256,knn,circles,0.0,100,5,41,0.5888888888888889,0.6,-0.011111111111111072
257,knn,circles,0.0,100,5,51,0.5222222222222223,0.5,0.022222222222222254
258,knn,circles,0.0,100,5,53,0.5111111111111111,0.5,0.011111111111111072
259,knn,circles,0.0,100,5,55,0.5222222222222223,0.6,-0.07777777777777772
260,knn,circles,0.0,100,6,1,1.0,1.0,0.0
261,knn,circles,0.0,100,6,3,0.9888888888888889,1.0,-0.011111111111111072
262,knn,circles,0.0,100,6,5,0.9222222222222223,0.9,0.022222222222222254
263,knn,circles,0.0,100,6,11,0.7777777777777778,0.8,-0.022222222222222254
264,knn,circles,0.0,100,6,21,0.5666666666666667,0.5,0.06666666666666665
265,knn,circles,0.0,100,6,31,0.6222222222222222,0.5,0.12222222222222223
266,knn,circles,0.0,100,6,41,0.6222222222222222,0.5,0.12222222222222223
267,knn,circles,0.0,100,6,51,0.6,0.4,0.19999999999999996
268,knn,circles,0.0,100,6,53,0.5222222222222223,0.5,0.022222222222222254
269,knn,circles,0.0,100,6,55,0.5333333333333333,0.5,0.033333333333333326
270,knn,circles,0.0,100,7,1,1.0,1.0,0.0
271,knn,circles,0.0,100,7,3,0.9777777777777777,1.0,-0.022222222222222254
272,knn,circles,0.0,100,7,5,0.9444444444444444,0.9,0.0444444444444444
273,knn,circles,0.0,100,7,11,0.7888888888888889,0.7,0.0888888888888889
274,knn,circles,0.0,100,7,21,0.5111111111111111,0.7,-0.18888888888888888
275,knn,circles,0.0,100,7,31,0.5777777777777777,0.6,-0.022222222222222254
276,knn,circles,0.0,100,7,41,0.5888888888888889,0.6,-0.011111111111111072
277,knn,circles,0.0,100,7,51,0.5777777777777777,0.6,-0.022222222222222254
278,knn,circles,0.0,100,7,53,0.5666666666666667,0.6,-0.033333333333333326
279,knn,circles,0.0,100,7,55,0.5555555555555556,0.6,-0.0444444444444444
280,knn,circles,0.0,100,8,1,1.0,1.0,0.0
281,knn,circles,0.0,100,8,3,0.9777777777777777,0.8,0.1777777777777777
282,knn,circles,0.0,100,8,5,0.9111111111111111,0.9,0.011111111111111072
283,knn,circles,0.0,100,8,11,0.7888888888888889,0.7,0.0888888888888889
284,knn,circles,0.0,100,8,21,0.5333333333333333,0.7,-0.16666666666666663
285,knn,circles,0.0,100,8,31,0.5777777777777777,0.7,-0.12222222222222223
286,knn,circles,0.0,100,8,41,0.5888888888888889,0.7,-0.11111111111111105
287,knn,circles,0.0,100,8,51,0.5111111111111111,0.8,-0.288888888888889
288,knn,circles,0.0,100,8,53,0.5111111111111111,0.8,-0.288888888888889
289,knn,circles,0.0,100,8,55,0.5222222222222223,0.7,-0.1777777777777777
290,knn,circles,0.0,100,9,1,1.0,1.0,0.0
291,knn,circles,0.0,100,9,3,0.9888888888888889,1.0,-0.011111111111111072
292,knn,circles,0.0,100,9,5,0.9333333333333333,0.8,0.1333333333333333
293,knn,circles,0.0,100,9,11,0.7555555555555555,0.4,0.3555555555555555
294,knn,circles,0.0,100,9,21,0.6444444444444445,0.3,0.3444444444444445
295,knn,circles,0.0,100,9,31,0.5,0.8,-0.30000000000000004
296,knn,circles,0.0,100,9,41,0.5333333333333333,0.8,-0.2666666666666667
297,knn,circles,0.0,100,9,51,0.5333333333333333,0.4,0.1333333333333333
298,knn,circles,0.0,100,9,53,0.5222222222222223,0.4,0.12222222222222223
299,knn,circles,0.0,100,9,55,0.5222222222222223,0.4,0.12222222222222223
300,knn,circles,0.0,1000,0,1,1.0,1.0,0.0
301,knn,circles,0.0,1000,0,3,1.0,1.0,0.0
302,knn,circles,0.0,1000,0,5,1.0,1.0,0.0
303,knn,circles,0.0,1000,0,11,1.0,1.0,0.0
304,knn,circles,0.0,1000,0,21,1.0,1.0,0.0
305,knn,circles,0.0,1000,0,31,1.0,1.0,0.0
306,knn,circles,0.0,1000,0,41,0.9966666666666667,1.0,-0.0033333333333332993
307,knn,circles,0.0,1000,0,51,0.9811111111111112,0.96,0.02111111111111119
308,knn,circles,0.0,1000,0,53,0.9788888888888889,0.95,0.028888888888888964
309,knn,circles,0.0,1000,0,55,0.9744444444444444,0.95,0.02444444444444449
310,knn,circles,0.0,1000,1,1,1.0,1.0,0.0
311,knn,circles,0.0,1000,1,3,1.0,1.0,0.0
312,knn,circles,0.0,1000,1,5,1.0,1.0,0.0
313,knn,circles,0.0,1000,1,11,1.0,1.0,0.0
314,knn,circles,0.0,1000,1,21,1.0,1.0,0.0
315,knn,circles,0.0,1000,1,31,1.0,1.0,0.0
316,knn,circles,0.0,1000,1,41,1.0,1.0,0.0
317,knn,circles,0.0,1000,1,51,1.0,1.0,0.0
318,knn,circles,0.0,1000,1,53,1.0,1.0,0.0
319,knn,circles,0.0,1000,1,55,0.9966666666666667,1.0,-0.0033333333333332993
320,knn,circles,0.0,1000,2,1,1.0,1.0,0.0
321,knn,circles,0.0,1000,2,3,1.0,1.0,0.0
322,knn,circles,0.0,1000,2,5,1.0,1.0,0.0
323,knn,circles,0.0,1000,2,11,1.0,1.0,0.0
324,knn,circles,0.0,1000,2,21,1.0,1.0,0.0
325,knn,circles,0.0,1000,2,31,1.0,1.0,0.0
326,knn,circles,0.0,1000,2,41,0.9977777777777778,1.0,-0.0022222222222222365
